Time,Event Status,Is-Ready Power Status,Is-Charging Power Status,Multi-Purpose Input Status,Always-On Power Status,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,Charger-Safety Output Active,HEM mode,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current),Pack voltage,Pack open voltage,Pack state of charge,Pack amphours,Pack resistance,Pack depth of discharge,Pack state of health,Summed pack voltage,Total pack cycles,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,DCL Reduced Due To Cell Voltage,DCL Reduced Due To Pack Voltage,Reduced Due To Voltage Failsafe,Multi-Unit Comm Failsafe,CCL Reduced Due To SOC,CCL Reduced Due To Cell Resistance,CCL Reduced Due To Temperature,CCL Reduced Due To Cell Voltage,CCL Reduced Due To Pack Voltage,CCL Zero Because Charge Complete,Simulated pack SOC,Battery mode,Requested battery mode,TP ADC,Highest battery temperature,Lowest battery temperature,Average battery temperature,Actual fan speed (0-6),Requested fan speed (0-6),Highest thermistor ID,Lowest thermistor ID,Lowest cell voltage,Highest cell voltage,Average cell voltage,Lowest open cell voltage,Highest open cell voltage,Average open cell voltage,Lowest cell resistance,Highest cell resistance,Average cell resistance,Highest cell voltage ID,Lowest cell voltage ID,Highest opencell ID,Lowest opencell ID,Highest resistance ID,Lowest resistance ID,12v supply (lower than actual),Current sensor ADC #1,Current sensor ADC #2,Voltage from fan sensor,Shortest Wave (Isolation),Average Wave (Isolation)
Sat Aug 19 11:16:30 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,224.0,0.0,273.7,273.7,77.0,21.2,0.364,22.5,100.0,273.73,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,273.7,26.0,25.0,25.0,0.0,0.0,104.0,131.0,3.902,3.912,3.911,3.902,3.912,3.91,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2051.0,0.0,4.669,4.894
Sat Aug 19 11:16:31 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,224.0,0.0,273.7,273.7,77.0,21.2,0.364,22.5,100.0,273.73,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,273.7,26.0,25.0,25.0,0.0,0.0,104.0,131.0,3.902,3.912,3.911,3.902,3.912,3.91,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2051.0,0.0,4.635,4.868
Sat Aug 19 11:16:32 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,224.0,0.0,273.7,273.7,77.0,21.2,0.364,22.5,100.0,273.73,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,273.7,26.0,25.0,25.0,0.0,0.0,104.0,131.0,3.902,3.912,3.91,3.902,3.912,3.91,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2051.0,0.0,4.637,4.842
Sat Aug 19 11:16:33 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,224.0,0.0,273.7,273.7,77.0,21.2,0.364,22.5,100.0,273.73,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,273.7,26.0,25.0,25.0,0.0,0.0,104.0,131.0,3.902,3.912,3.911,3.902,3.912,3.91,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2051.0,0.0,4.637,4.842
Sat Aug 19 11:16:34 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,224.0,0.0,273.7,273.7,77.0,21.2,0.364,22.5,100.0,273.73,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,273.7,26.0,25.0,25.0,0.0,0.0,104.0,131.0,3.902,3.912,3.91,3.902,3.912,3.91,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2051.0,0.0,4.637,4.842
Sat Aug 19 11:16:35 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,224.0,0.0,273.7,273.7,77.0,21.2,0.364,22.5,100.0,273.73,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,273.7,26.0,25.0,25.0,0.0,0.0,104.0,131.0,3.902,3.912,3.91,3.902,3.912,3.91,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2051.0,0.0,4.624,4.825
Sat Aug 19 11:16:36 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,224.0,0.0,273.7,273.7,77.0,21.2,0.364,22.5,100.0,273.73,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,273.7,26.0,25.0,25.0,0.0,0.0,104.0,131.0,3.902,3.912,3.91,3.902,3.912,3.91,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.5,2051.0,2051.0,0.0,4.293,4.815
Sat Aug 19 11:16:37 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,224.0,0.0,273.7,273.7,77.0,21.2,0.364,22.5,100.0,273.73,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,273.7,26.0,25.0,25.0,0.0,0.0,104.0,131.0,3.902,3.912,3.91,3.902,3.912,3.91,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.5,2051.0,2051.0,0.0,4.532,4.788
Sat Aug 19 11:16:38 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,224.0,0.0,273.7,273.7,77.0,21.2,0.364,22.5,100.0,273.73,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,273.7,26.0,25.0,25.0,0.0,0.0,104.0,131.0,3.902,3.912,3.911,3.902,3.912,3.91,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.5,2051.0,2051.0,0.0,4.637,4.762
Sat Aug 19 11:16:39 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,224.0,0.0,273.7,273.7,77.0,21.2,0.364,22.5,100.0,273.73,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,273.7,26.0,25.0,25.0,0.0,0.0,104.0,131.0,3.902,3.912,3.911,3.902,3.912,3.91,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2051.0,2051.0,0.0,4.686,4.736
Sat Aug 19 11:16:40 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,224.0,0.0,273.7,273.7,77.0,21.2,0.364,22.5,100.0,273.73,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,273.7,26.0,25.0,25.0,0.0,0.0,104.0,131.0,3.902,3.912,3.911,3.902,3.912,3.91,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2050.0,2051.0,0.0,4.704,4.71
Sat Aug 19 11:16:41 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,224.0,0.0,273.7,273.7,77.0,21.2,0.364,22.5,100.0,273.73,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,273.7,26.0,25.0,25.0,0.0,0.0,104.0,131.0,3.902,3.912,3.911,3.902,3.912,3.91,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.4,2050.0,2051.0,0.0,4.704,4.71
Sat Aug 19 11:16:42 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,224.0,0.0,273.7,273.7,77.0,21.2,0.364,22.5,100.0,273.73,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,273.7,26.0,25.0,25.0,0.0,0.0,104.0,131.0,3.902,3.912,3.911,3.902,3.912,3.91,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.5,2051.0,2051.0,0.0,4.713,4.693
Sat Aug 19 11:16:43 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,224.0,0.0,273.7,273.7,77.0,21.2,0.364,22.5,100.0,273.73,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,273.7,26.0,25.0,25.0,0.0,0.0,104.0,131.0,3.902,3.912,3.911,3.902,3.912,3.91,5.2,5.2,5.2,26.0,51.0,26.0,51.0,1.0,1.0,14.5,2051.0,2051.0,0.0,4.713,4.693
